date,Midwest,National,Northeast,South,West,date_period
2024-04-06,2.2736172959110204,2.089119032784404,1.5872874167091564,2.421381384922199,1.653707067016438,All Results
2024-04-06,2.2736172959110204,2.089119032784404,1.5872874167091564,2.421381384922199,1.653707067016438,1 Year
2024-04-13,2.2204197053031676,1.8050910700295058,1.584164937420546,2.0641478045106307,1.3151466479210132,All Results
2024-04-13,2.2204197053031676,1.8050910700295058,1.584164937420546,2.0641478045106307,1.3151466479210132,1 Year
2024-04-20,1.760487721656534,1.5208429691245278,1.4383861865816792,1.5836252615793698,1.2965442269105347,All Results
2024-04-20,1.760487721656534,1.5208429691245278,1.4383861865816792,1.5836252615793698,1.2965442269105347,1 Year
2024-04-27,1.5297389317403898,1.3643779577860444,1.2204126561984834,1.412155665914299,1.3110931186070103,6 Months
2024-04-27,1.5297389317403898,1.3643779577860444,1.2204126561984834,1.412155665914299,1.3110931186070103,All Results
2024-04-27,1.5297389317403898,1.3643779577860444,1.2204126561984834,1.412155665914299,1.3110931186070103,1 Year
2024-05-04,1.4699830715827769,1.3312541534872606,1.2913577444556283,1.324565718674041,1.23489104516246,6 Months
2024-05-04,1.4699830715827769,1.3312541534872606,1.2913577444556283,1.324565718674041,1.23489104516246,All Results
2024-05-04,1.4699830715827769,1.3312541534872606,1.2913577444556283,1.324565718674041,1.23489104516246,1 Year
2024-05-11,1.393638962215494,1.364568684953574,1.2608814434238869,1.3339119946101796,1.66827198110841,6 Months
2024-05-11,1.393638962215494,1.364568684953574,1.2608814434238869,1.3339119946101796,1.66827198110841,All Results
2024-05-11,1.393638962215494,1.364568684953574,1.2608814434238869,1.3339119946101796,1.66827198110841,1 Year
2024-05-18,1.3706906597278954,1.5296572616428368,1.3074786432672236,1.3922462323804092,2.1317038446721823,6 Months
2024-05-18,1.3706906597278954,1.5296572616428368,1.3074786432672236,1.3922462323804092,2.1317038446721823,All Results
2024-05-18,1.3706906597278954,1.5296572616428368,1.3074786432672236,1.3922462323804092,2.1317038446721823,1 Year
2024-05-25,1.451205153823813,1.6679010492235298,1.3485067532115933,1.569170600101271,2.7061281494797784,6 Months
2024-05-25,1.451205153823813,1.6679010492235298,1.3485067532115933,1.569170600101271,2.7061281494797784,All Results
2024-05-25,1.451205153823813,1.6679010492235298,1.3485067532115933,1.569170600101271,2.7061281494797784,1 Year
2024-06-01,1.7126769245259112,1.9196465267735272,1.2868470267773366,1.8184410776040953,3.462806918511151,6 Months
2024-06-01,1.7126769245259112,1.9196465267735272,1.2868470267773366,1.8184410776040953,3.462806918511151,All Results
2024-06-01,1.7126769245259112,1.9196465267735272,1.2868470267773366,1.8184410776040953,3.462806918511151,1 Year
2024-06-08,1.8273383886266348,2.182508301295843,1.3134884018481452,2.0445821222783978,4.260005049712997,6 Months
2024-06-08,1.8273383886266348,2.182508301295843,1.3134884018481452,2.0445821222783978,4.260005049712997,All Results
2024-06-08,1.8273383886266348,2.182508301295843,1.3134884018481452,2.0445821222783978,4.260005049712997,1 Year
2024-06-15,2.1303293625790913,2.435796349356761,1.626336957496103,2.4456478878234913,4.418208330137432,6 Months
2024-06-15,2.1303293625790913,2.435796349356761,1.626336957496103,2.4456478878234913,4.418208330137432,All Results
2024-06-15,2.1303293625790913,2.435796349356761,1.626336957496103,2.4456478878234913,4.418208330137432,1 Year
2024-06-22,2.4150619474407033,3.0138146731451627,1.807407957599009,3.27072397975427,6.879777602778541,6 Months
2024-06-22,2.4150619474407033,3.0138146731451627,1.807407957599009,3.27072397975427,6.879777602778541,All Results
2024-06-22,2.4150619474407033,3.0138146731451627,1.807407957599009,3.27072397975427,6.879777602778541,1 Year
2024-06-29,2.87087518230957,3.827272520071471,2.6601998116038725,3.970879839488801,7.175387152250726,6 Months
2024-06-29,2.87087518230957,3.827272520071471,2.6601998116038725,3.970879839488801,7.175387152250726,All Results
2024-06-29,2.87087518230957,3.827272520071471,2.6601998116038725,3.970879839488801,7.175387152250726,1 Year
